Points:0,Points:1,C
5.5833333e+00,2.9411765e-02,7.6163624e-03
1.0828077e+00,3.0169386e-02,2.6066979e-24
3.3375000e+00,3.1490122e-02,1.1111530e-16
2.8090030e+00,3.5275486e-02,1.0142442e-16
3.8625000e+00,3.6676048e-02,1.3638818e-16
7.7940461e+00,3.6920620e-02,1.9976816e-02
2.2875000e+00,3.7272246e-02,1.0229771e-16
6.7559728e+00,3.7311784e-02,1.9206239e-02
7.4841588e-01,3.7395326e-02,1.5233650e-21
6.0833333e+00,3.9078925e-02,2.1118095e-02
9.3823529e+00,3.9191146e-02,1.7284995e-02
2.1296628e+00,3.9441444e-02,1.0401419e-16
9.7252239e+00,3.9750959e-02,9.5033064e-03
9.2993125e-01,4.0270347e-02,2.3630336e-22
8.1423821e+00,4.0378629e-02,2.1197334e-02
1.9375000e+00,4.0751404e-02,9.4329133e-17
5.7650662e+00,4.0752929e-02,1.0671980e-02
1.5787314e+00,4.1353947e-02,9.4815895e-18
8.8665366e+00,4.2071099e-02,1.9565470e-02
1.7747125e+00,4.2947772e-02,9.0754883e-17
3.0069141e+00,4.5430040e-02,1.1555389e-16
3.5165845e+00,4.5747178e-02,1.2280506e-16
7.2528885e+00,4.5752691e-02,2.0057632e-02
9.0386757e+00,4.5971044e-02,1.9455401e-02
6.4105325e+00,4.6066328e-02,2.1325996e-02
1.0294656e-01,4.7391006e-02,1.1671535e-21
6.6029162e+00,4.7713700e-02,2.0716305e-02
2.8252351e-01,4.7854552e-02,1.3646011e-21
3.9363462e-01,4.7854552e-02,1.2736168e-21
8.6608566e+00,4.8359608e-02,2.1595650e-02
5.9302576e-01,4.8525792e-02,1.6589760e-21
4.3814142e+00,4.8753710e-02,1.4972918e-16
4.8930782e+00,4.8795220e-02,1.3096909e-16
4.5891706e+00,4.9113774e-02,1.4896005e-16
4.7058372e+00,4.9113774e-02,1.4466755e-16
1.2295988e+00,4.9658157e-02,1.8747413e-22
4.2101997e+00,5.0888706e-02,1.2082240e-16
