Points:0,Points:1,C
5.5833333e+00,2.9411765e-02,9.2376989e-03
1.0828077e+00,3.0169386e-02,8.4931299e-10
3.3375000e+00,3.1490122e-02,2.9290642e-02
2.8090030e+00,3.5275486e-02,3.0307443e-02
3.8625000e+00,3.6676048e-02,3.2670877e-02
7.7940461e+00,3.6920620e-02,2.1387076e-02
2.2875000e+00,3.7272246e-02,3.1856499e-02
6.7559728e+00,3.7311784e-02,2.1281756e-02
7.4841588e-01,3.7395326e-02,5.0270250e-07
6.0833333e+00,3.9078925e-02,2.5140108e-02
9.3823529e+00,3.9191146e-02,1.8428489e-02
2.1296628e+00,3.9441444e-02,3.2583186e-02
9.7252239e+00,3.9750959e-02,1.0131035e-02
9.2993125e-01,4.0270347e-02,7.7918987e-08
8.1423821e+00,4.0378629e-02,2.2655797e-02
1.9375000e+00,4.0751404e-02,3.0129391e-02
5.7650662e+00,4.0752929e-02,1.2922597e-02
1.5787314e+00,4.1353947e-02,3.0353609e-03
8.8665366e+00,4.2071099e-02,2.0864724e-02
1.7747125e+00,4.2947772e-02,2.9013009e-02
3.0069141e+00,4.5430040e-02,3.3031864e-02
3.5165845e+00,4.5747178e-02,3.1737798e-02
7.2528885e+00,4.5752691e-02,2.1698289e-02
9.0386757e+00,4.5971044e-02,2.0745535e-02
6.4105325e+00,4.6066328e-02,2.4686746e-02
1.0294656e-01,4.7391006e-02,3.8679324e-07
6.6029162e+00,4.7713700e-02,2.3266486e-02
2.8252351e-01,4.7854552e-02,4.5203972e-07
3.9363462e-01,4.7854552e-02,4.2162795e-07
8.6608566e+00,4.8359608e-02,2.3042837e-02
5.9302576e-01,4.8525792e-02,5.4795385e-07
4.3814142e+00,4.8753710e-02,3.1392856e-02
4.8930782e+00,4.8795220e-02,2.5846061e-02
4.5891706e+00,4.9113774e-02,2.9801196e-02
4.7058372e+00,4.9113774e-02,2.8761128e-02
1.2295988e+00,4.9658157e-02,6.0016930e-08
4.2101997e+00,5.0888706e-02,2.6628015e-02
2.6233585e+00,5.1520444e-02,3.3718291e-02
3.6850261e+00,5.2171656e-02,3.3703078e-02
7.4190488e+00,5.2777124e-02,3.1141697e-02
1.3937019e+00,5.3202608e-02,2.3991912e-05
7.6322626e+00,5.3532374e-02,2.3307658e-02
6.9145603e+00,5.3773381e-02,2.0144670e-02
9.2058824e+00,5.3915793e-02,2.2191192e-02
5.9166667e+00,5.4280594e-02,1.4128650e-02
9.5662344e+00,5.5404614e-02,1.8155405e-02
2.4531986e+00,5.5831522e-02,2.7730821e-02
9.8831007e+00,5.8075760e-02,7.5632891e-03
6.2500000e+00,5.8235035e-02,2.4732056e-02
3.1785476e+00,5.8845483e-02,3.4555795e-02
7.0882353e+00,5.9655610e-02,1.5281415e-02
8.3025717e+00,6.1172443e-02,2.2749234e-02
7.9510659e+00,6.2877752e-02,2.4969386e-02
4.0375000e+00,6.3994561e-02,3.5504026e-02
8.4818170e+00,6.5553681e-02,2.3849180e-02
1.0127389e+00,7.0439734e-02,2.1084954e-08
2.2171628e+00,7.6713691e-02,3.2487039e-02
3.4290845e+00,7.7237300e-02,2.9409870e-02
1.1457398e+00,7.9827543e-02,1.5020105e-08
1.8622125e+00,8.3699176e-02,3.1115493e-02
6.6922224e+00,8.5025485e-02,2.3201030e-02
6.7477497e-01,8.5921118e-02,5.1640426e-07
2.7073614e+00,8.6795930e-02,3.3458897e-02
8.9640358e+00,8.8042143e-02,2.1338515e-02
5.5277778e+00,8.8235294e-02,1.2402456e-02
3.7725261e+00,8.8847704e-02,3.4277001e-02
5.6437489e+00,8.9648111e-02,1.3757451e-02
3.2660476e+00,9.0335605e-02,3.3298952e-02
7.7204263e+00,9.0452995e-02,2.1463910e-02
6.8371998e+00,9.1085166e-02,2.1037677e-02
2.3656986e+00,9.3103768e-02,2.7285609e-02
9.2941176e+00,9.3106939e-02,1.9441676e-02
6.0000000e+00,9.3359519e-02,1.6237872e-02
2.8714160e+00,9.4071484e-02,3.0428831e-02
1.4696555e+00,9.4556554e-02,8.6733190e-04
9.4779991e+00,9.4595759e-02,2.0418807e-02
5.8483995e+00,9.5033523e-02,1.3125387e-02
9.6443994e+00,9.5155573e-02,1.7531673e-02
2.1880341e-01,9.5245558e-02,3.9418783e-07
6.1666667e+00,9.7313960e-02,2.6039533e-02
9.7847952e+00,9.7826720e-02,1.6656710e-02
4.7739155e+00,9.7908994e-02,3.0387696e-02
3.6016106e+00,9.7918834e-02,3.2026455e-02
7.3189961e+00,9.8529814e-02,2.0186321e-02
4.2916139e+00,9.9642415e-02,3.1394375e-02
7.8627591e+00,9.9798372e-02,2.4024377e-02
9.1269110e+00,9.9886837e-02,2.1913421e-02
3.9500000e+00,1.0067061e-01,3.2044842e-02
5.7143707e+00,1.0098928e-01,1.4441467e-02
8.2096597e+00,1.0155107e-01,2.2543416e-02
1.2899673e+00,1.0286076e-01,2.1405272e-06
4.7391006e-02,1.0294656e-01,3.8653040e-07
8.1050943e-01,1.0299909e-01,5.3507705e-07
8.0346244e+00,1.0325638e-01,2.2496876e-02
2.9526605e+00,1.0422604e-01,3.3211927e-02
3.1104617e+00,1.0427552e-01,3.3033916e-02
6.3271992e+00,1.0430136e-01,2.5146766e-02
8.8108520e+00,1.0489433e-01,2.0995861e-02
7.1646532e+00,1.0540830e-01,2.1774098e-02
8.8091369e-01,1.0587411e-01,6.1192833e-07
1.6382769e+00,1.0707386e-01,3.4293980e-02
2.5265570e+00,1.0735197e-01,3.3793652e-02
2.0879489e+00,1.0746681e-01,3.4571356e-02
4.9514116e+00,1.0831903e-01,1.8791911e-02
1.7175914e+00,1.0866769e-01,3.3533492e-02
2.0124528e+00,1.0877677e-01,3.1323101e-02
8.7228190e+00,1.1118284e-01,2.3461682e-02
6.9995277e+00,1.1342899e-01,1.8897838e-02
8.5544383e+00,1.1391329e-01,2.2561746e-02
4.1226997e+00,1.1488327e-01,2.9491881e-02
9.9419242e+00,1.1689929e-01,2.0731902e-02
4.4025172e-01,1.1936009e-01,5.2835108e-07
5.2853175e-01,1.2003133e-01,5.4932106e-07
6.4737524e+00,1.2149200e-01,2.4873097e-02
4.4526411e+00,1.2183056e-01,3.1331323e-02
4.5437308e+00,1.2219063e-01,3.3443886e-02
6.5550249e+00,1.2313938e-01,2.4887304e-02
8.3726240e+00,1.2672612e-01,2.3066324e-02
7.4726228e+00,1.3193075e-01,2.9898743e-02
7.5681896e+00,1.3268600e-01,2.3085700e-02
1.0295374e+00,1.3989768e-01,2.5034315e-08
3.4166838e+00,1.4823975e-01,3.0683602e-02
5.5881933e+00,1.4847164e-01,1.5131453e-02
1.1069827e+00,1.4928549e-01,7.4406496e-08
2.7128147e+00,1.6073133e-01,3.1583722e-02
2.2435057e+00,1.6122936e-01,2.9176629e-02
3.3119802e+00,1.6133806e-01,3.1227072e-02
6.7200001e+00,1.6513856e-01,2.4063032e-02
2.8185359e+00,1.6800688e-01,3.0876307e-02
1.8679205e+00,1.6873445e-01,3.1985939e-02
8.9681417e+00,1.7040270e-01,2.0680282e-02
3.7911333e+00,1.7117815e-01,3.2338146e-02
6.8094221e+00,1.7119824e-01,2.3984856e-02
1.4650636e+00,1.7466268e-01,9.8656758e-04
2.4464303e-01,1.7664073e-01,3.9919194e-07
2.3337082e+00,1.7761944e-01,2.8423796e-02
6.0255663e+00,1.8033288e-01,2.4533248e-02
9.4635667e+00,1.8044111e-01,2.0186606e-02
4.7481220e+00,1.8153181e-01,2.9255674e-02
6.7818052e-01,1.8156351e-01,4.8985329e-07
9.2934116e+00,1.8193145e-01,2.0051119e-02
6.1366774e+00,1.8428732e-01,2.5572693e-02
8.1613766e+00,1.8710457e-01,1.9457053e-02
1.5753517e+00,1.8717999e-01,1.3162215e-02
8.8737813e+00,1.8725489e-01,2.0522443e-02
9.1146064e+00,1.8792422e-01,2.1171753e-02
8.0451649e+00,1.8880988e-01,1.9440326e-02
7.7369894e+00,1.8982461e-01,2.1628331e-02
2.1726252e+00,1.9198248e-01,2.9398442e-02
1.7816327e+00,1.9370296e-01,3.2847630e-02
1.9598275e+00,1.9381204e-01,3.1962712e-02
9.6629016e+00,1.9430050e-01,1.9415207e-02
7.2950374e+00,1.9446215e-01,2.3026963e-02
3.0056470e+00,1.9591178e-01,3.0758209e-02
3.1051149e+00,1.9596126e-01,3.0812812e-02
4.9195682e+00,1.9666776e-01,2.4587111e-02
9.1898937e-01,1.9680506e-01,5.2734989e-07
9.7444738e+00,1.9697165e-01,1.9291242e-02
4.2929950e+00,1.9778004e-01,3.3259283e-02
1.2621895e+00,1.9838977e-01,6.5605703e-06
5.8400208e+00,1.9841294e-01,2.0842728e-02
7.5835943e-01,1.9864148e-01,5.1372267e-07
