Points:0,Points:1,C
5.4444444e+00,2.0147073e-02,1.0769480e-02
4.8888869e+00,2.0192152e-02,1.6839905e-02
3.5189001e+00,2.4684589e-02,1.2922181e-05
4.0957020e+00,2.5309275e-02,1.5269102e-05
3.8660129e+00,2.5572404e-02,1.5112237e-05
6.8608904e+00,2.5648432e-02,6.1121711e-03
6.3880994e+00,2.6234011e-02,7.9724185e-03
4.9960585e+00,2.6375683e-02,2.4033930e-02
6.5589029e-02,2.6393726e-02,6.2804238e-36
5.6766446e+00,2.6395232e-02,9.0530348e-03
3.0649052e+00,2.6418940e-02,5.7690447e-06
1.7043534e+00,2.6626721e-02,1.1951293e-35
3.2869845e+00,2.8133131e-02,1.3076116e-05
3.1714733e+00,2.8841884e-02,8.3543764e-06
9.9315862e+00,2.8871688e-02,9.6554250e-04
8.7571951e+00,2.8875155e-02,1.7687942e-03
1.9317797e+00,2.9127535e-02,8.5744686e-36
8.1661110e+00,2.9863068e-02,2.9093089e-03
8.6404844e+00,3.0140986e-02,1.8154997e-03
3.6300992e+00,3.0363542e-02,1.4594976e-05
7.0998811e+00,3.0527043e-02,5.2842411e-03
4.2063799e+00,3.1340289e-02,1.8286197e-05
8.5234232e+00,3.1762159e-02,2.0060353e-03
8.0481344e+00,3.1877273e-02,3.2914759e-03
9.8220612e+00,3.1950597e-02,1.2313104e-03
6.7458939e+00,3.2017022e-02,7.5355005e-03
4.6657012e+00,3.2111831e-02,2.4739054e-03
4.4366407e+00,3.2154823e-02,2.4887872e-05
1.5922740e+00,3.2179611e-02,1.3234623e-35
8.2839511e+00,3.2490318e-02,2.5983261e-03
8.8759943e+00,3.2573788e-02,1.6312519e-03
7.2183033e+00,3.2673002e-02,5.4170325e-03
6.6272112e+00,3.2770933e-02,8.1191983e-03
4.3206110e+00,3.2772312e-02,2.0259606e-05
5.3336124e+00,3.2794213e-02,1.6583235e-02
5.5592105e+00,3.3130114e-02,9.3240057e-03
4.5493561e+00,3.3149972e-02,3.4114360e-04
1.1211422e+00,3.3154922e-02,1.3367935e-35
9.1118516e+00,3.3171342e-02,1.3605589e-03
8.4039655e+00,3.3304307e-02,2.3527064e-03
3.7500000e+00,3.3308669e-02,1.5074973e-05
3.4038462e+00,3.3308669e-02,1.3553151e-05
3.9807692e+00,3.3308669e-02,1.6009990e-05
6.4792887e-01,3.3405619e-02,1.0451176e-35
9.7039565e+00,3.3573302e-02,1.3336402e-03
9.2302744e+00,3.3617876e-02,1.2667759e-03
6.1494215e+00,3.3638716e-02,9.5968574e-03
4.7794490e+00,3.3756333e-02,9.2095048e-03
7.9279870e+00,3.3783134e-02,3.5807920e-03
8.9935528e+00,3.3844376e-02,1.4661141e-03
7.3358229e+00,3.3902307e-02,5.4320790e-03
7.5723936e+00,3.3994156e-02,4.6703546e-03
7.8098054e+00,3.4001474e-02,3.9474022e-03
9.4671237e+00,3.4174556e-02,1.4402019e-03
6.0328160e+00,3.4175144e-02,9.6763323e-03
7.6907996e+00,3.4180143e-02,4.1933509e-03
9.5855263e+00,3.4185213e-02,1.3668695e-03
6.5065789e+00,3.4185213e-02,8.4360906e-03
9.3486842e+00,3.4185213e-02,1.4028561e-03
7.4539633e+00,3.4189114e-02,5.2625956e-03
1.3538249e+00,3.4209114e-02,1.1631417e-35
1.4724916e+00,3.4285675e-02,1.1759679e-35
1.2392385e+00,3.4627698e-02,1.1483509e-35
5.2202941e+00,3.4674307e-02,2.3278746e-02
5.9138198e+00,3.4699485e-02,1.1167402e-02
1.0014269e+00,3.4942585e-02,1.3624498e-35
