Points:0,Points:1,C
1.8676563e+00,6.5786991e-02,1.5298770e-23
7.0384867e+00,6.5790824e-02,1.6669725e-08
8.3458114e+00,6.5794625e-02,2.2146670e-12
4.7229280e+00,6.5868164e-02,1.8995126e-02
8.9353366e+00,6.6418165e-02,2.6909733e-14
1.5353538e+00,6.6465286e-02,2.0616200e-23
7.2778104e+00,6.6575308e-02,4.5116867e-09
9.1710733e+00,6.6789217e-02,1.0049179e-14
6.5680007e+00,6.6956146e-02,1.0212204e-07
9.0527728e+00,6.7015718e-02,1.6651995e-14
5.2761287e+00,6.7468521e-02,1.9205086e-04
9.6447460e+00,6.7758515e-02,6.7586339e-15
1.1839102e+00,6.7782620e-02,1.8223647e-23
7.8693713e+00,6.7784608e-02,1.6003144e-10
9.2894849e+00,6.7803089e-02,8.4960069e-15
6.0901322e+00,6.7813861e-02,4.1130759e-07
9.9710599e+00,6.8087374e-02,5.5493558e-15
7.3950493e+00,6.8091421e-02,3.3132628e-09
1.0637456e+00,6.8097507e-02,2.0272566e-23
7.6316142e+00,6.8174300e-02,8.1323163e-10
7.7506050e+00,6.8181617e-02,4.1423173e-10
7.5131990e+00,6.8183270e-02,1.7117073e-09
9.5263342e+00,6.8359769e-02,7.2949110e-15
9.4079132e+00,6.8359769e-02,7.7479432e-15
1.4145518e+00,6.8494789e-02,1.8434002e-23
1.9709953e+00,6.8810075e-02,1.0301373e-23
1.2989458e+00,6.8836813e-02,1.8005939e-23
5.9729516e+00,6.8874629e-02,5.7747903e-07
6.2091844e+00,6.9354225e-02,3.2496605e-07
5.9268665e-01,6.9690718e-02,1.7021056e-23
9.4422503e-01,7.0363133e-02,2.0780917e-23
5.8506995e+00,7.2221081e-02,1.1202272e-06
2.3420680e-01,7.2273634e-02,1.1684076e-23
5.1564694e+00,7.2650840e-02,7.1432973e-04
7.0910935e-01,7.5336123e-02,1.8541305e-23
8.2750800e-01,7.7351051e-02,2.2299536e-23
3.5545721e-01,7.7898112e-02,1.3619781e-23
4.7653693e-01,7.8553904e-02,1.2665919e-23
4.9242249e+00,9.5294876e-02,5.3481752e-03
5.4051586e+00,1.0033629e-01,2.1788905e-05
5.4801719e+00,1.0067219e-01,1.2970692e-05
4.8557636e+00,1.0267553e-01,8.9732839e-03
3.1134751e+00,1.1143904e-01,2.0149976e-02
3.5557085e+00,1.1479887e-01,3.5457569e-02
3.4833016e+00,1.1774399e-01,3.6024837e-02
4.1319040e+00,1.1854698e-01,3.6302622e-02
6.8188421e+00,1.1862681e-01,1.0080100e-07
5.0215375e+00,1.1911062e-01,2.8331356e-03
3.2169711e+00,1.1932952e-01,3.2002475e-02
1.1165356e-01,1.1972728e-01,9.9722631e-24
5.4066009e-02,1.2011999e-01,1.0502389e-23
3.8306930e+00,1.2012576e-01,3.6567693e-02
3.9076161e+00,1.2012576e-01,3.7138078e-02
4.0601395e+00,1.2051536e-01,3.6843908e-02
5.6361461e+00,1.2084980e-01,3.2162296e-06
8.7076127e+00,1.2108566e-01,2.0662443e-13
6.4267285e+00,1.2168855e-01,5.1919364e-07
3.0573865e+00,1.2181284e-01,2.1584846e-02
6.8931327e+00,1.2187357e-01,9.7632464e-08
9.8740003e+00,1.2228628e-01,6.1090043e-15
1.6627926e+00,1.2310087e-01,2.2361130e-23
3.3326791e+00,1.2321837e-01,3.6305179e-02
6.3483335e+00,1.2321885e-01,5.2850442e-07
8.1187430e+00,1.2403960e-01,4.6890161e-11
8.5928989e+00,1.2515629e-01,6.3154151e-13
5.7111836e+00,1.2524128e-01,3.1950572e-06
3.6770618e+00,1.2594481e-01,3.6836684e-02
8.8214097e+00,1.2598908e-01,7.7169272e-14
1.8734314e+00,1.2689412e-01,1.8677636e-23
8.2327336e+00,1.2709138e-01,1.6000436e-11
9.7631173e+00,1.2739628e-01,6.4122022e-15
1.7318855e+00,1.2758071e-01,2.3442918e-23
6.5750728e+00,1.2774063e-01,2.9347368e-07
7.1667144e+00,1.2838228e-01,3.4988863e-08
9.1710859e+00,1.2919021e-01,9.6670396e-15
9.9335181e+00,1.2955137e-01,6.0674401e-15
4.9579751e+00,1.2986113e-01,5.2603092e-03
1.9375547e+00,1.2991721e-01,2.0378871e-23
4.2442071e+00,1.3010279e-01,3.8345058e-02
8.4732916e+00,1.3013458e-01,2.1073231e-12
9.2894861e+00,1.3021579e-01,7.6082505e-15
9.6447722e+00,1.3030546e-01,5.9140495e-15
4.3607851e+00,1.3037904e-01,3.3080407e-02
6.2022092e+00,1.3041099e-01,9.9746155e-07
9.4079301e+00,1.3080637e-01,6.4097261e-15
9.5263358e+00,1.3085855e-01,5.9724551e-15
7.0463946e+00,1.3090554e-01,5.3941826e-08
4.4754206e+00,1.3105433e-01,3.3427626e-02
7.9951976e+00,1.3157292e-01,2.1581284e-10
4.5911810e+00,1.3205619e-01,2.6639904e-02
8.3494656e+00,1.3308119e-01,6.5231075e-12
7.2829752e+00,1.3322871e-01,2.7601481e-08
2.3907686e-01,1.3331523e-01,1.0820253e-23
4.7117686e+00,1.3374579e-01,1.9076567e-02
8.9364485e+00,1.3392978e-01,3.3643198e-14
6.6927165e+00,1.3426681e-01,2.5840285e-07
1.5433947e+00,1.3519428e-01,1.9749679e-23
7.5132363e+00,1.3521551e-01,8.8048017e-09
9.0527728e+00,1.3529783e-01,1.7758893e-14
7.6317393e+00,1.3540106e-01,4.0725744e-09
7.8725751e+00,1.3548472e-01,7.0149488e-10
7.3962434e+00,1.3554712e-01,1.8018035e-08
1.1936652e+00,1.3572307e-01,1.8596369e-23
5.9710917e+00,1.3620529e-01,1.6967104e-06
7.7512585e+00,1.3637599e-01,1.8955449e-09
6.0890678e+00,1.3736317e-01,1.3994892e-06
5.2624940e+00,1.3845000e-01,3.5278775e-04
1.0736795e+00,1.3932634e-01,1.8154315e-23
5.9991781e-01,1.4043564e-01,1.9975774e-23
1.4239720e+00,1.4095675e-01,1.9375341e-23
5.8530749e+00,1.4095792e-01,2.5643903e-06
1.3084782e+00,1.4129851e-01,1.8721668e-23
7.0847818e-01,1.4244147e-01,1.9314363e-23
5.1463488e+00,1.4384428e-01,1.0006112e-03
9.5553466e-01,1.4564174e-01,1.8693652e-23
3.1532372e+00,1.4737460e-01,2.9457727e-02
3.4964169e-01,1.4853585e-01,1.5170134e-23
5.5124599e+00,1.4995440e-01,1.3990071e-05
3.2642694e+00,1.5226420e-01,3.5383681e-02
5.3757947e+00,1.5234521e-01,1.1473720e-04
3.6030018e+00,1.5238687e-01,3.7114107e-02
8.3906690e-01,1.5301376e-01,1.8948938e-23
9.8242506e+00,1.5528698e-01,6.1373909e-15
8.6557247e+00,1.5546365e-01,5.2674260e-13
8.7685066e+00,1.5548481e-01,1.6253292e-13
4.8944107e-01,1.5576770e-01,1.7401402e-23
4.8282560e+00,1.5577574e-01,1.0684314e-02
8.1822274e+00,1.5690032e-01,3.8627620e-11
9.7042402e+00,1.5799263e-01,5.9785396e-15
9.2302882e+00,1.5843156e-01,8.0925657e-15
9.3487023e+00,1.5904451e-01,6.3266571e-15
9.4671422e+00,1.5911993e-01,5.6588012e-15
4.1764952e+00,1.5922790e-01,3.9314635e-02
9.5855541e+00,1.5923094e-01,5.6440611e-15
8.5377911e+00,1.6008342e-01,1.7826984e-12
8.0638134e+00,1.6008904e-01,1.9994763e-10
7.1142136e+00,1.6082399e-01,5.2172475e-08
3.4482682e+00,1.6163898e-01,3.4895850e-02
6.7644052e+00,1.6245724e-01,2.6436864e-07
6.6381053e+00,1.6303427e-01,2.9128187e-07
4.4127889e+00,1.6335627e-01,3.8740565e-02
3.3757152e+00,1.6366481e-01,3.4548174e-02
9.1118642e+00,1.6385444e-01,1.4023949e-14
5.5916920e+00,1.6388385e-01,1.2454809e-05
3.7954151e+00,1.6416680e-01,3.6735132e-02
4.2952068e+00,1.6421441e-01,3.9353971e-02
6.1413819e+00,1.6424479e-01,1.4063961e-06
3.9479484e+00,1.6434998e-01,3.9622357e-02
7.2298928e+00,1.6450864e-01,3.7103353e-08
8.2939611e+00,1.6451488e-01,1.4912218e-11
8.8811161e+00,1.6462554e-01,6.3747101e-14
6.5317603e+00,1.6467365e-01,6.0270722e-07
4.0246289e+00,1.6500272e-01,3.8496087e-02
6.4646330e+00,1.6515850e-01,6.3090685e-07
3.7238516e+00,1.6519471e-01,3.7169197e-02
1.6135390e+00,1.6520314e-01,2.0583406e-23
8.4140490e+00,1.6565899e-01,6.2153541e-12
4.5245902e+00,1.6569390e-01,3.0461990e-02
6.2437985e+00,1.6666429e-01,1.0257193e-06
4.6417765e+00,1.6678385e-01,2.4635960e-02
6.3091396e+00,1.6687685e-01,1.0046954e-06
1.3954923e-01,1.6708947e-01,9.9380589e-24
6.9277467e+00,1.6719893e-01,1.2663951e-07
2.9332084e-01,1.6730864e-01,1.4716436e-23
7.9371090e+00,1.6739576e-01,6.7051369e-10
5.7423443e+00,1.6765166e-01,3.8687668e-06
2.7692667e-02,1.6780034e-01,1.1619406e-23
7.3421818e+00,1.6801141e-01,2.8432719e-08
7.5725560e+00,1.6825316e-01,8.7536069e-09
7.4551947e+00,1.6867705e-01,1.8216051e-08
7.6915781e+00,1.6960128e-01,3.9547183e-09
8.9946648e+00,1.6963811e-01,2.9255224e-14
