Points:0,Points:1,C
1.8676563e+00,6.5786991e-02,1.8120037e-06
7.0384867e+00,6.5790824e-02,1.0861373e-07
8.3458114e+00,6.5794625e-02,1.4438630e-11
4.7229280e+00,6.5868164e-02,2.7095076e-02
8.9353366e+00,6.6418165e-02,1.7544258e-13
1.5353538e+00,6.6465286e-02,2.3994200e-06
7.2778104e+00,6.6575308e-02,2.9401628e-08
9.1710733e+00,6.6789217e-02,6.5517392e-14
6.5680007e+00,6.6956146e-02,6.6515972e-07
9.0527728e+00,6.7015718e-02,1.0856558e-13
5.2761287e+00,6.7468521e-02,8.7463273e-04
9.6447460e+00,6.7758515e-02,4.4064119e-14
1.1839102e+00,6.7782620e-02,2.1075896e-06
7.8693713e+00,6.7784608e-02,1.0432031e-09
9.2894849e+00,6.7803089e-02,5.5391224e-14
6.0901322e+00,6.7813861e-02,2.6778960e-06
9.9710599e+00,6.8087374e-02,3.6180015e-14
7.3950493e+00,6.8091421e-02,2.1592786e-08
1.0637456e+00,6.8097507e-02,2.3422177e-06
7.6316142e+00,6.8174300e-02,5.3006676e-09
7.7506050e+00,6.8181617e-02,2.7001201e-09
7.5131990e+00,6.8183270e-02,1.1156134e-08
9.5263342e+00,6.8359769e-02,4.7560472e-14
9.4079132e+00,6.8359769e-02,5.0514094e-14
1.4145518e+00,6.8494789e-02,2.1384323e-06
1.9709953e+00,6.8810075e-02,1.2240578e-06
1.2989458e+00,6.8836813e-02,2.0844498e-06
5.9729516e+00,6.8874629e-02,3.7593092e-06
6.2091844e+00,6.9354225e-02,2.1159672e-06
5.9268665e-01,6.9690718e-02,1.9610168e-06
9.4422503e-01,7.0363133e-02,2.3990117e-06
5.8506995e+00,7.2221081e-02,7.2906634e-06
2.3420680e-01,7.2273634e-02,1.3429358e-06
5.1564694e+00,7.2650840e-02,2.7817457e-03
7.0910935e-01,7.5336123e-02,2.1374180e-06
8.2750800e-01,7.7351051e-02,2.5717154e-06
3.5545721e-01,7.7898112e-02,1.5667605e-06
4.7653693e-01,7.8553904e-02,1.4582932e-06
4.9242249e+00,9.5294876e-02,1.3752906e-02
5.4051586e+00,1.0033629e-01,1.2522403e-04
5.4801719e+00,1.0067219e-01,8.0746082e-05
4.8557636e+00,1.0267553e-01,1.8293082e-02
3.1134751e+00,1.1143904e-01,1.3097548e-02
3.5557085e+00,1.1479887e-01,2.2887951e-02
3.4833016e+00,1.1774399e-01,2.3267170e-02
4.1319040e+00,1.1854698e-01,2.3748199e-02
6.8188421e+00,1.1862681e-01,6.5665052e-07
5.0215375e+00,1.1911062e-01,8.7608940e-03
3.2169711e+00,1.1932952e-01,2.0787444e-02
1.1165356e-01,1.1972728e-01,1.1458688e-06
5.4066009e-02,1.2011999e-01,1.2066989e-06
